,ptr,ggo,ppy,mml,hsa br M 1,hsa br M 2,hsa br M 3,hsa br M 4,hsa br M 5,hsa br F 1,hsa cb M 1,hsa cb F 1,hsa ht M 2,hsa ht M 1,hsa ht F 1,hsa kd M 1,hsa kd M 2,hsa kd F 1,hsa lv M 1,hsa lv M 2,hsa ts M 1,hsa ts M 2,ptr br M 3,ptr br M 2,ptr br M 5,ptr br M 1,ptr br M 4,ptr br F 1,ptr cb M 1,ptr cb F 1,ptr ht M 1,ptr ht F 1,ptr kd M 1,ptr kd F 1,ptr lv M 1,ptr lv F 1,ptr ts M 1,ppa br M 1,ppa br F 1,ppa br F 2,ppa cb M 1,ppa cb F 1,ppa ht M 1,ppa ht F 1,ppa kd M 1,ppa kd F 1,ppa lv M 1,ppa lv F 1,ppa ts M 1,ggo br M 1,ggo br F 1,ggo cb M 1,ggo cb F 1,ggo ht M 1,ggo ht F 1,ggo kd M 1,ggo kd F 1,ggo lv M 1,ggo lv F 1,ggo ts M 1,ppy br M 1,ppy br F 1,ppy cb F 1,ppy ht M 1,ppy ht F 1,ppy kd M 1,ppy kd F 1,ppy lv M 1,ppy lv F 1,mml br M 2,mml br M 1,mml br F 1,mml cb M 1,mml cb F 1,mml ht M 1,mml ht F 1,mml kd M 1,mml kd F 1,mml lv M 1,mml lv F 1,mml ts M 1,mml ts M 2
ptr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ggo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ppy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mdo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hsa br M 3,,,,,0.8854262504489198,0.8241836861448424,0.9998008124765501,0.8790719976297197,0.9439058952559937,0.9243163003317069,0.8900735646239003,0.8006353587579984,0.6796063286999741,0.7629127963017219,0.6991061027346652,0.8064543219436239,0.7644091041352363,0.7619619137445567,0.5710650167811637,0.6632052198547698,0.797583250469702,0.6614696660256215,0.8275592223900625,0.8114797423075434,0.8189143766501985,0.877310099783098,0.7845734739028926,0.7812112847376848,0.7366675131953072,0.7000384729834928,0.4830725639620111,0.5685066940626433,0.6918333743965123,0.7970182401309813,0.7282494385358872,0.7636367065130097,0.44103892777208925,0.7225230493404443,0.810285395876899,0.7996976071353024,0.7134744312862766,0.6775462949424352,0.6167285747575406,0.5892899530337886,0.7848410447975909,0.7459677999048008,0.6148881807911869,0.6630933217116091,0.5332766368682748,0.9159534899273942,0.8667255922267818,0.7075016076543378,0.7917813091085667,0.7464576699009869,0.7539858765129231,0.651640752664933,0.8092170544849265,0.5548066418302862,0.605045644012092,0.5720218267904895,0.8026785477629685,0.7787219481971154,0.49687869664514983,0.6015067203953297,0.41710107606568675,0.5737365021936197,0.5896954380431741,0.49323914396550694,0.6078173658528371,0.8331211392525465,0.7352650014642608,0.8363702003245423,0.7458843221990826,0.5838236079461714,0.721495337175392,0.6444180740116732,0.6373458393694545,0.6476041295862899,0.7725245157146566,0.7027329653070594,0.40204346184745227,0.4938496754724944
hsa br M 4,,,,,0.8517996053767212,0.7682525770102745,0.8797386498547103,0.9999334028600503,0.8263442503365795,0.8569484429016535,0.8539979360779258,0.8347434645458589,0.6780969830317259,0.7139531768427715,0.7092604256297645,0.7518352208455722,0.7414892229275886,0.6835761515854465,0.5826625676361378,0.614536611198852,0.6469409750761801,0.5433777252200058,0.7461233377024591,0.7560258731600276,0.7572704328236796,0.775079431121853,0.7028401237227971,0.6822041685166546,0.7269524606320625,0.6282250813692616,0.4998005115149544,0.5462806907548259,0.705432679232146,0.7451591661579868,0.72806826110447,0.707124361644557,0.3581093132611108,0.6429177336264694,0.7214208313044311,0.79898007626741,0.7140398555530393,0.7199704690886749,0.6309581126210082,0.6015356030082741,0.7606681172546382,0.752573880305421,0.7047259143939456,0.717111788193741,0.4434954604000296,0.8151680846517034,0.7787256183249228,0.7521357302702393,0.7883524375144826,0.7128230611404399,0.7414192751522434,0.6311007701228188,0.8003037082093116,0.5537030677842566,0.5971795784434958,0.48728438083948894,0.7758623595117398,0.7699131352239733,0.6087703491212434,0.6310200247039269,0.4687095351614689,0.5693874218273881,0.6216767914360112,0.5049807591943039,0.6126632734034031,0.7443019623332807,0.677555185997261,0.7546119313957406,0.7441831165854954,0.6022264018870973,0.7629343765100614,0.6904992896724659,0.664151393368133,0.5915178599941151,0.7046699686418572,0.6500350515008497,0.28917790752007305,0.39702848898026816
hsa br M 5,,,,,0.8077931187851222,0.7294278166015478,0.9457833595705492,0.8242133373542302,0.9995027255133775,0.8446654134569991,0.854899695076499,0.7779890872252142,0.6647260563661449,0.7502297562485611,0.6792261975189379,0.7744153063782443,0.7212434852502254,0.7467786037302291,0.5005035652767922,0.6413957773344904,0.7236548205152106,0.5580689938395965,0.8363310237894583,0.7903223535117776,0.8158926601094221,0.8688222854199158,0.7586452898182355,0.762377952354827,0.7281933445766782,0.7041631509145848,0.46417408932881876,0.5622715886696994,0.6744166058351393,0.8172656228973328,0.7158187461148433,0.7799829591447983,0.3096672277475457,0.6628158052854297,0.8033657545844288,0.7782853112768418,0.6878771048210466,0.6561141319020402,0.5745603342906624,0.5675482446198059,0.7768332643468264,0.73519206074785,0.5756173762051141,0.6507463516556051,0.4417140048399011,0.9165384998092289,0.8209951416456568,0.690493096187861,0.7564265671192018,0.7204829153467109,0.7237901615816851,0.6225918004226615,0.788090322156455,0.5247729846934783,0.5688114688764869,0.4292280330845861,0.7710305735932299,0.7251079553262724,0.4548346139235025,0.5466746606914468,0.3615369418516357,0.5439853335100541,0.5570212422099217,0.4340844007970426,0.584188497159899,0.8154969585297484,0.687049017615514,0.7945283187434067,0.7200380820373485,0.5614480689288914,0.7318348944016109,0.6186552200327751,0.633076570056173,0.639540897262372,0.7756157283792888,0.6832109546237899,0.2821271515026437,0.39666825817211004
hsa br F 1,,,,,0.9595635282549125,0.9398644378816801,0.9228881633117737,0.8560809237388729,0.8420361441914572,0.999920581107224,0.8849049056927174,0.8114697575113826,0.7471208428510673,0.7889341704715231,0.7701661865016598,0.7856615039598276,0.813598697993563,0.7972515372228262,0.6426940911370392,0.6891983102530052,0.7593770857561505,0.6992590160809611,0.8423702587817395,0.8352414593048351,0.8451245351168336,0.8344798387831994,0.860438259588045,0.822581000759717,0.7702301427865618,0.7519813909325703,0.6452809000940872,0.6918706566060159,0.7563475445392781,0.8191414558589221,0.7311854160891221,0.7425450372999737,0.5337709641388458,0.8397555389225263,0.7889311492919198,0.8483770185339814,0.7853408692786545,0.7565343822105922,0.7263165248363053,0.712115872212356,0.8194648428148642,0.792792181726506,0.7223159911641334,0.7430880692637782,0.5437204257900121,0.8555695294347334,0.903839379187711,0.7116364865351704,0.8075789034795083,0.7888544948987347,0.7900793279657357,0.7214582903165351,0.8103287846307105,0.6004024567023715,0.6402155143749116,0.6694991425524869,0.8307588592219226,0.8337688592060724,0.5817371533319633,0.7202046071308856,0.5742247938143529,0.6331044173307754,0.6261653121117143,0.5731892853192698,0.6545233615776302,0.8721670397617731,0.8283703656881711,0.8859225060819199,0.7861155816546406,0.6809288058514499,0.7668313096139062,0.7667180965740075,0.7267250290621675,0.7237690658510327,0.7338100697717251,0.7503967448555544,0.45633777465183933,0.5366902652681894
hsa cb M 1,,,,,0.8953225091729812,0.8427771361250559,0.8910214483202137,0.8539388304953773,0.8560270954608507,0.886101024620421,0.9999703658035348,0.9085536270335952,0.8315045807148941,0.8860301398490965,0.8512475425818503,0.8659286424249111,0.8801350663701891,0.8562550298909408,0.7092683450991576,0.7376761999308545,0.7521956894082793,0.6459153356866205,0.8735368343389399,0.8616132976908929,0.8935928024076273,0.8935916579567911,0.878301033786106,0.7905406660879912,0.8794460152507645,0.8065290380800983,0.7122934992734147,0.755503028730453,0.8135664728006634,0.8534178286460767,0.7623761847798234,0.7596726219976737,0.4478248727774816,0.8314719203261688,0.8441015671760075,0.8821961144329055,0.8754638676498789,0.8569773005450831,0.8062470511527422,0.7717298044655094,0.8681087876518304,0.8735123993719988,0.7161443030291407,0.7414744683327376,0.4597976793380243,0.900754942468126,0.8747023700791496,0.8403883017209901,0.8976511665769483,0.8055100126133684,0.7850453147839532,0.7884437275474502,0.8484567595317594,0.6870685873234991,0.7133050044536557,0.5885651844271482,0.8226254940364102,0.8386676214734269,0.7415370844171989,0.6557095345465137,0.6042243622451128,0.7200985814831892,0.7146991861662255,0.6369049927457617,0.6121015870768943,0.839366714037097,0.8022604192229141,0.8434815310318536,0.8548361927758978,0.7741110973806421,0.8214100651606684,0.7452449053074391,0.7429514694262571,0.7960689138836102,0.681515649088489,0.7331905626174288,0.4206546997803985,0.45187571416925465
hsa cb F 1,,,,,0.8044621378622081,0.7287843344823839,0.8012169072203276,0.835314263078518,0.7787683143238646,0.8129340374724927,0.9091437781013083,0.9999611527276739,0.8635467335542563,0.8525091021431576,0.8750415133368158,0.8103861274931933,0.8362266365521674,0.8041027088137815,0.6862427831828679,0.729794535430009,0.7089227313234467,0.6416077351350554,0.7804690199939955,0.7845854358283214,0.8123041116129771,0.8304145330276309,0.7875577439678384,0.729626609118521,0.8697945560232339,0.7311471763821069,0.7199104550356556,0.7315877549498051,0.8028990311855284,0.8252129692407529,0.8016581449731291,0.7885422994494056,0.45005717268527917,0.7376097813068191,0.8059562400161224,0.8327087313934262,0.8418862574831238,0.8023253252915729,0.8033454655311112,0.8022768493628157,0.862077691496113,0.8814903921448098,0.7796619371828859,0.8122293762264148,0.5155345256074044,0.8387270245396732,0.8136083334302556,0.7739063642949268,0.8449307804033723,0.8049756112247727,0.8008668937867012,0.7482875611884497,0.8356566974934222,0.679619681156754,0.699760419852968,0.5688885904030188,0.7989701400647493,0.8517009302678692,0.7711885771706529,0.7487497557676535,0.675861811393589,0.7271128789745951,0.7668210589122532,0.704918525323036,0.748353559773647,0.7697442483247873,0.7521444234001813,0.7813162864530563,0.8144563214442255,0.7372586366863639,0.8357420759274407,0.7970315966963863,0.7521477158199614,0.747440216667298,0.6849279752527024,0.7574234207032615,0.4293286710376551,0.4831064305027071
hsa ht M 1,,,,,0.755166387003432,0.7098440204772569,0.7558170094320827,0.7059985085797513,0.7423225486474399,0.783305733150926,0.8824433468817844,0.8464652768713844,0.9309375444952899,0.9996660788835464,0.9513046756237011,0.8669795773722798,0.8995213383003545,0.9158002263443535,0.8266968054163396,0.8535231230740887,0.7588831516062724,0.7154156550488705,0.8167333837513154,0.7906895906844902,0.832738753075413,0.8444618867082302,0.8329191184799514,0.7694143785295435,0.870954520345004,0.8006636410176611,0.8366565914527122,0.8463534207351382,0.798522674610922,0.8131093096559908,0.8679452312052899,0.8148958570212621,0.5284614365600055,0.7675969044260098,0.832085290366862,0.8164964998238969,0.8643224587944639,0.8290696261401368,0.8584166610502032,0.8861471426112958,0.8571139198277599,0.8939179035655745,0.8080638457398163,0.8360593931875485,0.516527745006342,0.8527824650808341,0.8535256186344115,0.833724208285456,0.9004494927883587,0.8888368746991927,0.8707778062037782,0.8731177851292756,0.8699106668701064,0.8416733193597784,0.8542175714351269,0.6524719524055772,0.7552371731939591,0.8184036024912579,0.7617003698107243,0.8054519921317267,0.7788574217947055,0.8183351750036619,0.8213822440718748,0.7903679747019432,0.7242995579581067,0.7364439722001418,0.7183373502524318,0.7182729482645911,0.7863781269270781,0.7135732122745859,0.818455645316256,0.8034768656666821,0.7331569517218626,0.7783483361768441,0.6051852216258637,0.708884120144074,0.48460373573508275,0.5220486069195912
hsa ht M 2,,,,,0.7382286671670393,0.7018944715600443,0.6745824794662206,0.6720728856589467,0.6593587223890804,0.7439457533086681,0.8302807523845519,0.8593808612435558,0.9997369460799932,0.9326167634439534,0.9693982095479042,0.8481023553326739,0.8988597264298094,0.8982591576511485,0.8252146088206638,0.8657020336682351,0.6928708937109307,0.6657695328704198,0.7975783773348585,0.7905857851728562,0.8228114962842534,0.8223712897709071,0.8133677964555488,0.7681911482913772,0.8533713033504853,0.7812075033747624,0.86232253012484,0.8755119305839598,0.7838543120720444,0.8066697431226683,0.854518570604819,0.837238496731552,0.4700149616278284,0.7534964854267401,0.8294230355344256,0.8241429235419535,0.823356936709513,0.8126973606180217,0.8864063756550924,0.8884346625525668,0.8580071820451155,0.8824463169101109,0.8210010010378359,0.8287708994056748,0.43243885105755564,0.7845736779471548,0.8054137000054673,0.7761928936732752,0.835639467253598,0.8534109802750336,0.8329754886348147,0.8569657781942381,0.8298231452604744,0.8311922130864331,0.8211590370846885,0.5999757099902493,0.759932724165601,0.8391098034895953,0.7861126075301155,0.8220832770076074,0.8277658117702291,0.833735649269741,0.8481558064220591,0.8107196076778159,0.8019107807168948,0.7155925619269625,0.7226015681880272,0.7029640026224371,0.779419379812793,0.7163870249488976,0.8327433904938848,0.8286734651053935,0.7548260598519924,0.7777350352775891,0.5876625828507546,0.7232872332627015,0.412801465672323,0.4389039280907715
hsa ht F 1,,,,,0.7539236457856469,0.6975967205936945,0.6944516745346886,0.7034680926899105,0.6750686915215638,0.7664572175319867,0.8501417432585592,0.8713153105941664,0.9705001270796719,0.9543719010700112,0.9997043439975911,0.8419162921416572,0.9199874706174035,0.9200218969970502,0.8332709669972514,0.8469800705057107,0.6806977265828307,0.6649249194105574,0.8007536367320248,0.8035907922540195,0.8332690980219102,0.832393049220761,0.8318813914839411,0.7854310535094938,0.8896888272700951,0.8083785810829843,0.888442539759272,0.8919179987235902,0.8284443702718586,0.83386927041364,0.8774756052863972,0.8436521706107787,0.49088358741062,0.7801011905508046,0.828298259200503,0.8347341466487919,0.8759344811117853,0.8482958130388815,0.906130697138128,0.9231405932801652,0.8786993688126926,0.9143855967008877,0.8294896068561781,0.8547445827291621,0.4583357704198283,0.8096080128408683,0.8268805335476392,0.7977128137611325,0.8719691126721284,0.8911159190919382,0.872438170622572,0.8890682749435147,0.873599411688829,0.8587925566527771,0.8536563900256423,0.6143935750444052,0.757360379215468,0.8431427297718114,0.8026356973829545,0.8296727795771726,0.8178455069702185,0.8449378300464144,0.8674985309771088,0.8101342867008802,0.7807662144531979,0.716803075385315,0.7146488701313886,0.7182635724681661,0.7805004900740213,0.7276456533326064,0.8518764807097446,0.867696909714155,0.7743496572155749,0.8113492925476806,0.5941939833680392,0.7411990959692507,0.4242709784120554,0.4618444790754637
hsa kd M 2,,,,,0.8161562336790317,0.7802451215220625,0.763030882553265,0.7382761740611895,0.7202629406615257,0.8125944353825906,0.8804379428604446,0.8351105431935422,0.9011141755371316,0.9037716641490933,0.9214249535306325,0.9258019366619846,0.9997392093968883,0.9649689294103967,0.8275639100671182,0.8296724257577015,0.728141504506011,0.6688642395222589,0.8495852524850276,0.8521453183131612,0.8772621050058323,0.8719980315520148,0.8789178315534288,0.8060892469491003,0.8669127439223119,0.7981411062292472,0.8197959036824038,0.8448546065006217,0.875666598419048,0.8823053313575782,0.8306169164846386,0.8072385360510445,0.484294155158078,0.8364932902864032,0.8561350341856655,0.8835085479598381,0.8393842121982986,0.8377322696511812,0.8601857738110757,0.8500309217557197,0.9108776599981955,0.9229998339420273,0.7976472449851001,0.8127145580469598,0.4570974899678668,0.854606186310101,0.8833239556353674,0.8306529644683797,0.8848032210565077,0.8670351595660062,0.8446968518821545,0.9330662416976294,0.9308023951593872,0.8139695135335849,0.8238761297553383,0.6475915551492653,0.8344435125060093,0.8876176334750405,0.794950805657111,0.7496058995213211,0.7493928049849302,0.893145642501416,0.8890567325042893,0.7687861593062891,0.7072118311465777,0.8307078217650171,0.8366795761056288,0.8227486081151874,0.8490387776847202,0.7861081097765099,0.8630755489482168,0.8180218265413886,0.8317335950817333,0.8661649880717339,0.6567708864502311,0.7402938518573674,0.42693352125591627,0.443862186910199
hsa kd M 1,,,,,0.7681094280461376,0.7419090225399213,0.8056436502538786,0.7483224809868235,0.772902473630466,0.7861397548499516,0.8650758521215407,0.8090906321781189,0.8492988125539107,0.8702203651443705,0.8417318439145195,0.9995921381608344,0.9238890283217406,0.8885427337333657,0.7445490739421163,0.7925910154731266,0.7998910090254819,0.6899226450132177,0.849943782678783,0.8405508075329924,0.852434642553129,0.8954962810569019,0.814433835398093,0.7681167210864002,0.8136234187072143,0.7518614367057899,0.6865099312863764,0.7432915190408294,0.7971910413506524,0.8488200702724001,0.7779018871114377,0.7951594848805205,0.4564726630085461,0.7569054832365821,0.8988994923377256,0.8691343619312524,0.7811912211038772,0.7787967802939452,0.784926932822045,0.7590830944834401,0.8780067727567282,0.8836763922496176,0.7135155213107424,0.7387347560747561,0.4703974472746648,0.8747577633116664,0.8535716965374244,0.81366098194564,0.8649129948589579,0.8487523504717238,0.8341765731774862,0.8685107505754489,0.8882376546722494,0.7680690096717075,0.7780743195699923,0.608722732119948,0.8100372449968725,0.8460845325943612,0.710916970391992,0.6910633337278638,0.6676624355240793,0.8332980458710432,0.8376288936672083,0.7166139622009835,0.688330927849821,0.8212469886457132,0.7793168309823304,0.7845930858642588,0.804298948982403,0.6848190333677021,0.8218774165678976,0.7148725102788837,0.7859210540278491,0.7990626275755257,0.6897919887201789,0.6756024284920884,0.42372616702986043,0.4602474686258015
hsa kd F 1,,,,,0.7905756112612262,0.7320869173944877,0.7603880263392743,0.6803022120052458,0.7460567890310662,0.7959207318557966,0.8558126721876494,0.802538714749795,0.89881593333544,0.9176879779191491,0.9199232992913801,0.8894214846436925,0.9640135682012962,0.999919357129034,0.8125641566028163,0.8598812235212663,0.7275274163546493,0.6702738346784685,0.8555659892695636,0.8356720624337578,0.8682882355572741,0.8734567419255027,0.8784344690709935,0.8270729726275861,0.862337751603251,0.8196911766448921,0.8089729834800375,0.8568926444689019,0.8434912422091375,0.8842627229416391,0.8496160037074957,0.8425249391849393,0.4840626464074403,0.8185231033806792,0.8557994469139406,0.8502362027004399,0.8313138817902188,0.8167194828189017,0.8403337100521252,0.8425355025100008,0.9014375757674885,0.8916108598086941,0.7724835993026453,0.7940986853651055,0.4612921188480431,0.8525823942599757,0.8765483327950164,0.8157463221820823,0.8701112104795411,0.855797136264724,0.8394155320187167,0.917613928648563,0.9249416435052172,0.8149717995064922,0.834709048817691,0.6401480832800858,0.8193354727872934,0.8652034834236415,0.7648273000686253,0.7369797528147424,0.7383669250829661,0.888518151858293,0.8687669915553197,0.7726450696106475,0.7259781125904338,0.7785181798841676,0.7725418944750628,0.7719165243316205,0.7915634561183758,0.7186546607971538,0.8222153939476956,0.7983222557703545,0.7951034061737107,0.8534345747690755,0.6702314221322788,0.757199176535368,0.42535040620140524,0.44994655961710545
hsa lv M 1,,,,,0.6369313609499879,0.6027490441589337,0.5670620734758297,0.5774521871597765,0.49895648808693727,0.6399698160445096,0.7077546831481806,0.6832481387320277,0.8208744389234743,0.8228081207191312,0.8274727083605822,0.7397386666675198,0.8206661630642156,0.80950032619505,0.9999458634942675,0.9248658982530055,0.4888643289198399,0.46053590941137706,0.6463896757684826,0.7051119946284261,0.6801586552502906,0.6718128810673711,0.6852761656893424,0.6435936417850957,0.6790542698166613,0.6251915728578126,0.7016258127101596,0.7672921468600183,0.6762764277046904,0.6590329014536643,0.8303739177057322,0.7592935143242663,0.2399840740086756,0.6241718090975716,0.6911467346164063,0.6816401537236807,0.6639823923846376,0.6884441889135327,0.7335408344175878,0.7326675130543272,0.6928211367436695,0.7338524788379216,0.9002796457345966,0.8310061574919463,0.18611669741995282,0.6392892604221221,0.6664053001778133,0.6742180693021957,0.735501930266748,0.73956630081457,0.7254182697749039,0.7999029759099121,0.729116728483635,0.8455782015856432,0.86901724921126,0.4102993116788132,0.6843863496513122,0.7562044014101321,0.7675766764962401,0.6674086527805616,0.6816750762460753,0.8062941390282659,0.7949486872618349,0.8065509757541154,0.7219029094499027,0.5868774385188305,0.6262191525167929,0.5617347467342096,0.732815244171842,0.596914963944742,0.7314414232092985,0.6882763726568929,0.6953723560780486,0.6766878928023372,0.5639191094324163,0.6701940638076841,0.16403148395617412,0.1691407396627277
